priority,cluster,primary_keyword,secondary_keyword,intent,demand_evidence,current_coverage,recommended_url,action
P0,Impermanent loss calculator,impermanent loss calculator,impermanent loss calculator crypto,Tool,Strong,Missing,/tools/impermanent-loss-calculator/,Build
P0,Impermanent loss calculator,impermanent loss calculator,impermanent loss calculator uniswap,Tool,Strong,Missing,/tools/impermanent-loss-calculator/,Build
P0,Impermanent loss calculator,impermanent loss calculator,impermanent loss calculator v3,Tool,Strong,Missing,/tools/impermanent-loss-calculator/,Build model selector
P0,Impermanent loss calculator,impermanent loss calculator,impermanent loss calculator concentrated liquidity,Tool,Strong,Missing,/tools/impermanent-loss-calculator/,Build bounded-range model
P0,Impermanent loss calculator,impermanent loss calculator,impermanent loss calculator with range,Tool,Strong,Missing,/tools/impermanent-loss-calculator/,Build bounded-range model
P0,Impermanent loss calculator,impermanent loss calculator,impermanent loss calculator with apy,Tool,Strong,Missing,/tools/impermanent-loss-calculator/,Include fee and APY scenario
P0,Impermanent loss calculator,impermanent loss calculator,LP vs HODL calculator,Tool,Medium,Missing,/tools/impermanent-loss-calculator/,Include benchmark
P0,LP returns calculator,liquidity pool calculator,liquidity pool profit calculator,Tool,Strong,Missing,/tools/liquidity-pool-calculator/,Build
P0,LP returns calculator,liquidity pool calculator,liquidity pool fee calculator,Tool,Strong,Missing,/tools/liquidity-pool-calculator/,Build
P0,LP returns calculator,liquidity pool calculator,liquidity pool APY calculator,Tool,Strong,Missing,/tools/liquidity-pool-calculator/,Build
P0,LP returns calculator,liquidity pool calculator,liquidity pool APR calculator,Tool,Strong,Missing,/tools/liquidity-pool-calculator/,Build
P0,LP returns calculator,liquidity pool calculator,liquidity pool earnings calculator,Tool,Strong,Missing,/tools/liquidity-pool-calculator/,Build
P0,LP returns calculator,liquidity pool calculator,liquidity pool daily yield,Tool,Medium,Missing,/tools/liquidity-pool-calculator/,Include scenario not promise
P0,Uniswap calculator,Uniswap v3 liquidity calculator,Uniswap v3 fee calculator,Tool,Strong,Missing,/tools/uniswap-v3-liquidity-calculator/,Build
P0,Uniswap calculator,Uniswap v3 liquidity calculator,Uniswap liquidity pool calculator,Tool,Strong,Missing,/tools/uniswap-v3-liquidity-calculator/,Build
